Customer_ID,monto,fecha,id_tienda
1180,3671,2025-01-01 00:00:00,1
1908,3223,2025-01-01 01:00:00,6
1838,2054,2025-01-01 02:00:00,14
1427,3416,2025-01-01 03:00:00,11
1186,2455,2025-01-01 04:00:00,8
1072,4841,2025-01-01 05:00:00,8
1389,2850,2025-01-01 06:00:00,12
1417,1357,2025-01-01 07:00:00,17
1414,1694,2025-01-01 08:00:00,12
1092,3311,2025-01-01 09:00:00,15
1330,478,2025-01-01 10:00:00,13
1278,1617,2025-01-01 11:00:00,14
1529,4836,2025-01-01 12:00:00,10
1423,4431,2025-01-01 13:00:00,1
1923,2327,2025-01-01 14:00:00,11
1380,2474,2025-01-01 15:00:00,10
1594,4772,2025-01-01 16:00:00,14
1679,2749,2025-01-01 17:00:00,11
1910,1934,2025-01-01 18:00:00,8
1255,4986,2025-01-01 19:00:00,14
1892,1850,2025-01-01 20:00:00,19
1384,1215,2025-01-01 21:00:00,6
1381,2232,2025-01-01 22:00:00,18
1058,3389,2025-01-01 23:00:00,2
1563,3078,2025-01-02 00:00:00,3
1671,1817,2025-01-02 01:00:00,14
1597,2870,2025-01-02 02:00:00,6
1163,2026,2025-01-02 03:00:00,18
1171,4754,2025-01-02 04:00:00,15
1314,4814,2025-01-02 05:00:00,13
1322,3582,2025-01-02 06:00:00,12
1227,993,2025-01-02 07:00:00,6
1636,1259,2025-01-02 08:00:00,11
1039,4684,2025-01-02 09:00:00,15
1428,308,2025-01-02 10:00:00,19
1621,2256,2025-01-02 11:00:00,13
1983,1539,2025-01-02 12:00:00,12
1684,378,2025-01-02 13:00:00,19
1182,4341,2025-01-02 14:00:00,16
1603,3192,2025-01-02 15:00:00,6
1372,1674,2025-01-02 16:00:00,15
1266,607,2025-01-02 17:00:00,8
1564,3932,2025-01-02 18:00:00,12
1872,2234,2025-01-02 19:00:00,12
1447,4992,2025-01-02 20:00:00,6
1830,2114,2025-01-02 21:00:00,6
1398,4144,2025-01-02 22:00:00,7
1905,3448,2025-01-02 23:00:00,13
1240,1598,2025-01-03 00:00:00,12
1216,4615,2025-01-03 01:00:00,17
1066,1244,2025-01-03 02:00:00,2
1757,2714,2025-01-03 03:00:00,13
1287,4401,2025-01-03 04:00:00,9
1325,1805,2025-01-03 05:00:00,10
1969,2168,2025-01-03 06:00:00,5
1858,3056,2025-01-03 07:00:00,3
1042,3436,2025-01-03 08:00:00,14
1848,3325,2025-01-03 09:00:00,1
1348,681,2025-01-03 10:00:00,12
1519,387,2025-01-03 11:00:00,1
1964,4543,2025-01-03 12:00:00,19
1864,3399,2025-01-03 13:00:00,14
1760,4266,2025-01-03 14:00:00,9
1241,3765,2025-01-03 15:00:00,1
1208,1171,2025-01-03 16:00:00,8
1292,4964,2025-01-03 17:00:00,12
1455,2008,2025-01-03 18:00:00,6
1827,4390,2025-01-03 19:00:00,18
1783,1453,2025-01-03 20:00:00,17
1725,3156,2025-01-03 21:00:00,14
1203,1326,2025-01-03 22:00:00,14
1346,4610,2025-01-03 23:00:00,9
1359,2214,2025-01-04 00:00:00,17
1225,2660,2025-01-04 01:00:00,5
1380,1986,2025-01-04 02:00:00,18
1110,4029,2025-01-04 03:00:00,12
1388,525,2025-01-04 04:00:00,18
1262,644,2025-01-04 05:00:00,4
1241,4133,2025-01-04 06:00:00,7
1954,4325,2025-01-04 07:00:00,17
1149,2265,2025-01-04 08:00:00,11
1315,200,2025-01-04 09:00:00,15
1713,4275,2025-01-04 10:00:00,12
1733,2933,2025-01-04 11:00:00,8
1237,2409,2025-01-04 12:00:00,13
1929,3838,2025-01-04 13:00:00,1
1222,2411,2025-01-04 14:00:00,15
1075,3919,2025-01-04 15:00:00,10
1327,2075,2025-01-04 16:00:00,9
1565,2737,2025-01-04 17:00:00,8
1111,1277,2025-01-04 18:00:00,10
1707,3703,2025-01-04 19:00:00,5
1745,2801,2025-01-04 20:00:00,10
1981,1378,2025-01-04 21:00:00,18
1092,2600,2025-01-04 22:00:00,6
1429,2247,2025-01-04 23:00:00,10
1114,3204,2025-01-05 00:00:00,2
1747,1854,2025-01-05 01:00:00,16
1225,459,2025-01-05 02:00:00,1
1293,4016,2025-01-05 03:00:00,6
1384,2508,2025-01-05 04:00:00,3
1176,236,2025-01-05 05:00:00,5
1493,3723,2025-01-05 06:00:00,4
1429,2361,2025-01-05 07:00:00,18
1887,3504,2025-01-05 08:00:00,17
1552,801,2025-01-05 09:00:00,18
1688,1650,2025-01-05 10:00:00,15
1647,452,2025-01-05 11:00:00,6
1273,3125,2025-01-05 12:00:00,18
1559,483,2025-01-05 13:00:00,7
1496,4558,2025-01-05 14:00:00,6
1191,4342,2025-01-05 15:00:00,5
1749,3822,2025-01-05 16:00:00,1
1382,1514,2025-01-05 17:00:00,8
1405,3321,2025-01-05 18:00:00,8
1983,2704,2025-01-05 19:00:00,4
1615,714,2025-01-05 20:00:00,19
1787,341,2025-01-05 21:00:00,4
1571,660,2025-01-05 22:00:00,5
1878,4698,2025-01-05 23:00:00,5
1628,2801,2025-01-06 00:00:00,3
1252,1507,2025-01-06 01:00:00,13
1109,2530,2025-01-06 02:00:00,4
1730,4222,2025-01-06 03:00:00,7
1615,2062,2025-01-06 04:00:00,13
1667,3723,2025-01-06 05:00:00,13
1288,2438,2025-01-06 06:00:00,9
1349,2593,2025-01-06 07:00:00,5
1418,2748,2025-01-06 08:00:00,11
1162,3101,2025-01-06 09:00:00,19
1953,1923,2025-01-06 10:00:00,14
1695,4395,2025-01-06 11:00:00,7
1815,1351,2025-01-06 12:00:00,19
1137,2483,2025-01-06 13:00:00,5
1077,413,2025-01-06 14:00:00,5
1223,2412,2025-01-06 15:00:00,14
1747,996,2025-01-06 16:00:00,1
1573,1508,2025-01-06 17:00:00,13
1129,4150,2025-01-06 18:00:00,15
1228,843,2025-01-06 19:00:00,19
1848,3766,2025-01-06 20:00:00,8
1780,535,2025-01-06 21:00:00,17
1974,2728,2025-01-06 22:00:00,7
1211,3304,2025-01-06 23:00:00,5
1418,2057,2025-01-07 00:00:00,18
1668,472,2025-01-07 01:00:00,18
1754,1648,2025-01-07 02:00:00,10
1033,763,2025-01-07 03:00:00,8
1219,2344,2025-01-07 04:00:00,12
1028,1959,2025-01-07 05:00:00,19
1922,1593,2025-01-07 06:00:00,17
1716,1370,2025-01-07 07:00:00,10
1134,1493,2025-01-07 08:00:00,3
1069,897,2025-01-07 09:00:00,13
1945,2487,2025-01-07 10:00:00,16
1182,3912,2025-01-07 11:00:00,13
1242,3914,2025-01-07 12:00:00,16
1680,133,2025-01-07 13:00:00,4
1419,477,2025-01-07 14:00:00,12
1224,3536,2025-01-07 15:00:00,10
1507,3851,2025-01-07 16:00:00,16
1324,2604,2025-01-07 17:00:00,5
1064,2322,2025-01-07 18:00:00,6
1574,1481,2025-01-07 19:00:00,19
1691,3090,2025-01-07 20:00:00,1
1693,315,2025-01-07 21:00:00,19
1240,360,2025-01-07 22:00:00,1
1062,2699,2025-01-07 23:00:00,17
1761,4267,2025-01-08 00:00:00,2
1775,342,2025-01-08 01:00:00,4
1677,2805,2025-01-08 02:00:00,16
1252,2933,2025-01-08 03:00:00,13
1687,3478,2025-01-08 04:00:00,1
1884,4898,2025-01-08 05:00:00,12
1313,940,2025-01-08 06:00:00,17
1102,1533,2025-01-08 07:00:00,19
1188,4061,2025-01-08 08:00:00,5
1164,4754,2025-01-08 09:00:00,19
1736,2451,2025-01-08 10:00:00,19
1843,484,2025-01-08 11:00:00,6
1720,2877,2025-01-08 12:00:00,15
1235,3823,2025-01-08 13:00:00,13
1771,428,2025-01-08 14:00:00,7
1329,583,2025-01-08 15:00:00,11
1551,2500,2025-01-08 16:00:00,16
1815,4156,2025-01-08 17:00:00,12
1029,4036,2025-01-08 18:00:00,4
1580,644,2025-01-08 19:00:00,17
1431,1305,2025-01-08 20:00:00,11
1598,3540,2025-01-08 21:00:00,7
1585,883,2025-01-08 22:00:00,3
1586,2124,2025-01-08 23:00:00,9
1591,2873,2025-01-09 00:00:00,7
1752,3217,2025-01-09 01:00:00,2
1576,1748,2025-01-09 02:00:00,8
1790,3372,2025-01-09 03:00:00,2
1869,1342,2025-01-09 04:00:00,17
1685,3933,2025-01-09 05:00:00,6
1928,4968,2025-01-09 06:00:00,3
1025,1362,2025-01-09 07:00:00,2
1475,262,2025-01-09 08:00:00,15
1465,4331,2025-01-09 09:00:00,10
1153,1238,2025-01-09 10:00:00,19
1817,765,2025-01-09 11:00:00,11
1131,2688,2025-01-09 12:00:00,16
1804,3026,2025-01-09 13:00:00,1
1235,3213,2025-01-09 14:00:00,14
1454,3133,2025-01-09 15:00:00,12
1794,3649,2025-01-09 16:00:00,4
1266,1348,2025-01-09 17:00:00,4
1594,433,2025-01-09 18:00:00,10
1291,1267,2025-01-09 19:00:00,15
1177,437,2025-01-09 20:00:00,6
1944,531,2025-01-09 21:00:00,14
1949,2016,2025-01-09 22:00:00,8
1419,4104,2025-01-09 23:00:00,15
1208,1423,2025-01-10 00:00:00,3
1214,4502,2025-01-10 01:00:00,15
1980,2260,2025-01-10 02:00:00,9
1170,438,2025-01-10 03:00:00,7
1594,4334,2025-01-10 04:00:00,18
1524,1451,2025-01-10 05:00:00,17
1766,600,2025-01-10 06:00:00,2
1201,877,2025-01-10 07:00:00,5
1963,4635,2025-01-10 08:00:00,1
1755,3205,2025-01-10 09:00:00,15
1136,1116,2025-01-10 10:00:00,14
1106,3773,2025-01-10 11:00:00,13
1706,3900,2025-01-10 12:00:00,9
1615,3865,2025-01-10 13:00:00,18
1998,1580,2025-01-10 14:00:00,10
1360,3962,2025-01-10 15:00:00,5
1181,3467,2025-01-10 16:00:00,2
1989,1393,2025-01-10 17:00:00,6
1884,2554,2025-01-10 18:00:00,5
1225,2903,2025-01-10 19:00:00,13
1219,1400,2025-01-10 20:00:00,12
1231,2155,2025-01-10 21:00:00,10
1205,2919,2025-01-10 22:00:00,13
1838,3702,2025-01-10 23:00:00,9
1249,1231,2025-01-11 00:00:00,16
1325,708,2025-01-11 01:00:00,15
1341,1237,2025-01-11 02:00:00,13
1914,3046,2025-01-11 03:00:00,9
1122,2764,2025-01-11 04:00:00,7
1134,4389,2025-01-11 05:00:00,19
1372,978,2025-01-11 06:00:00,4
1420,1369,2025-01-11 07:00:00,14
1443,492,2025-01-11 08:00:00,19
1239,1255,2025-01-11 09:00:00,15
1354,3657,2025-01-11 10:00:00,4
1475,2148,2025-01-11 11:00:00,11
1810,3088,2025-01-11 12:00:00,7
1996,4272,2025-01-11 13:00:00,7
1968,4705,2025-01-11 14:00:00,3
1182,1406,2025-01-11 15:00:00,1
1547,1225,2025-01-11 16:00:00,14
1120,4867,2025-01-11 17:00:00,14
1703,4448,2025-01-11 18:00:00,11
1587,4522,2025-01-11 19:00:00,2
1411,2252,2025-01-11 20:00:00,15
1104,2308,2025-01-11 21:00:00,18
1780,765,2025-01-11 22:00:00,13
1975,3072,2025-01-11 23:00:00,18
1990,2111,2025-01-12 00:00:00,11
1834,2866,2025-01-12 01:00:00,5
1872,1907,2025-01-12 02:00:00,13
1320,1522,2025-01-12 03:00:00,19
1827,3744,2025-01-12 04:00:00,14
1743,1562,2025-01-12 05:00:00,18
1389,501,2025-01-12 06:00:00,11
1862,213,2025-01-12 07:00:00,18
1566,4236,2025-01-12 08:00:00,19
1267,819,2025-01-12 09:00:00,14
1612,2735,2025-01-12 10:00:00,11
1339,2042,2025-01-12 11:00:00,17
1511,4851,2025-01-12 12:00:00,12
1675,3201,2025-01-12 13:00:00,13
1958,4222,2025-01-12 14:00:00,18
1316,761,2025-01-12 15:00:00,3
1440,2610,2025-01-12 16:00:00,8
1070,3338,2025-01-12 17:00:00,7
1725,4482,2025-01-12 18:00:00,5
1399,1805,2025-01-12 19:00:00,18
1651,1202,2025-01-12 20:00:00,7
1172,3116,2025-01-12 21:00:00,7
1005,2615,2025-01-12 22:00:00,4
1170,1453,2025-01-12 23:00:00,5
1221,2193,2025-01-13 00:00:00,7
1717,4027,2025-01-13 01:00:00,3
1228,3793,2025-01-13 02:00:00,17
1319,155,2025-01-13 03:00:00,8
1089,764,2025-01-13 04:00:00,7
1580,4030,2025-01-13 05:00:00,17
1336,4037,2025-01-13 06:00:00,13
1700,1549,2025-01-13 07:00:00,10
1603,2411,2025-01-13 08:00:00,7
1795,4615,2025-01-13 09:00:00,1
1846,1276,2025-01-13 10:00:00,9
1162,3962,2025-01-13 11:00:00,13
1640,4209,2025-01-13 12:00:00,17
1294,168,2025-01-13 13:00:00,4
1372,3409,2025-01-13 14:00:00,7
1813,3401,2025-01-13 15:00:00,6
1220,3587,2025-01-13 16:00:00,4
1193,4531,2025-01-13 17:00:00,4
1859,2394,2025-01-13 18:00:00,11
1972,3179,2025-01-13 19:00:00,17
1913,3328,2025-01-13 20:00:00,15
1834,2050,2025-01-13 21:00:00,5
1455,3581,2025-01-13 22:00:00,7
1655,4380,2025-01-13 23:00:00,17
1583,4732,2025-01-14 00:00:00,6
1169,758,2025-01-14 01:00:00,3
1165,380,2025-01-14 02:00:00,6
1688,3940,2025-01-14 03:00:00,13
1955,2712,2025-01-14 04:00:00,18
1213,1531,2025-01-14 05:00:00,7
1847,1599,2025-01-14 06:00:00,9
1323,2254,2025-01-14 07:00:00,11
1204,1060,2025-01-14 08:00:00,14
1572,3286,2025-01-14 09:00:00,2
1356,3256,2025-01-14 10:00:00,14
1706,1005,2025-01-14 11:00:00,19
1405,3256,2025-01-14 12:00:00,1
1906,3219,2025-01-14 13:00:00,15
1417,3024,2025-01-14 14:00:00,8
1698,3773,2025-01-14 15:00:00,6
1077,4480,2025-01-14 16:00:00,18
1798,1530,2025-01-14 17:00:00,6
1819,3270,2025-01-14 18:00:00,6
1655,3312,2025-01-14 19:00:00,12
1579,3578,2025-01-14 20:00:00,8
1104,2555,2025-01-14 21:00:00,19
1400,4600,2025-01-14 22:00:00,13
1852,3584,2025-01-14 23:00:00,10
1496,291,2025-01-15 00:00:00,3
1185,211,2025-01-15 01:00:00,9
1808,1250,2025-01-15 02:00:00,11
1614,3432,2025-01-15 03:00:00,18
1880,1396,2025-01-15 04:00:00,12
1174,2941,2025-01-15 05:00:00,4
1061,1345,2025-01-15 06:00:00,7
1627,339,2025-01-15 07:00:00,19
1598,644,2025-01-15 08:00:00,2
1625,4435,2025-01-15 09:00:00,15
1082,3690,2025-01-15 10:00:00,1
1747,2676,2025-01-15 11:00:00,4
