Customer_ID,monto,fecha,id_tienda,edad,ingresos,pais,puntos_lealtad,segmento_cliente
1180,3671,2025-01-01 00:00:00,1,45,18435,USA,4179,Regular
1908,3223,2025-01-01 01:00:00,6,23,6799,USA,4334,Premium Joven
1838,2054,2025-01-01 02:00:00,14,24,34193,México,9208,Premium Joven
1427,3416,2025-01-01 03:00:00,11,24,44034,México,6104,Premium Joven
1186,2455,2025-01-01 04:00:00,8,60,36367,México,7512,Regular
1072,4841,2025-01-01 05:00:00,8,63,34664,USA,9499,Regular
1389,2850,2025-01-01 06:00:00,12,29,41610,USA,1854,Premium Joven
1417,1357,2025-01-01 07:00:00,17,36,42444,USA,8391,Regular
1414,1694,2025-01-01 08:00:00,12,37,41959,Canada,6847,Regular
1092,3311,2025-01-01 09:00:00,15,49,49088,México,274,Regular
1330,478,2025-01-01 10:00:00,13,35,46979,México,5832,Regular
1278,1617,2025-01-01 11:00:00,14,34,27295,México,2910,Regular
1529,4836,2025-01-01 12:00:00,10,39,43815,México,9886,Regular
1423,4431,2025-01-01 13:00:00,1,35,29044,México,3303,Regular
1923,2327,2025-01-01 14:00:00,11,26,15290,México,9437,Premium Joven
1380,2474,2025-01-01 15:00:00,10,68,35550,Canada,7611,Regular
1594,4772,2025-01-01 16:00:00,14,50,22120,México,6180,Regular
1679,2749,2025-01-01 17:00:00,11,69,14317,México,8651,Regular
1910,1934,2025-01-01 18:00:00,8,65,16019,México,3995,Regular
1255,4986,2025-01-01 19:00:00,14,58,17677,México,5351,Regular
1892,1850,2025-01-01 20:00:00,19,60,49112,Canada,6650,Regular
1384,1215,2025-01-01 21:00:00,6,46,9655,México,4501,Regular
1381,2232,2025-01-01 22:00:00,18,40,26128,Canada,1087,Regular
1058,3389,2025-01-01 23:00:00,2,67,46578,México,7105,Regular
1563,3078,2025-01-02 00:00:00,3,30,23609,México,5816,Regular
1671,1817,2025-01-02 01:00:00,14,52,37090,USA,3644,Regular
1597,2870,2025-01-02 02:00:00,6,61,10672,México,4608,Regular
1163,2026,2025-01-02 03:00:00,18,59,48165,Canada,1522,Regular
1171,4754,2025-01-02 04:00:00,15,49,10982,México,4018,Regular
1314,4814,2025-01-02 05:00:00,13,19,20661,México,9091,Premium Joven
1322,3582,2025-01-02 06:00:00,12,64,45101,México,2203,Regular
1227,993,2025-01-02 07:00:00,6,66,21602,USA,9101,Regular
1636,1259,2025-01-02 08:00:00,11,18,46781,Canada,6372,Premium Joven
1039,4684,2025-01-02 09:00:00,15,52,14765,USA,428,Regular
1428,308,2025-01-02 10:00:00,19,25,6417,México,5215,Regular
1621,2256,2025-01-02 11:00:00,13,28,47172,México,9994,Premium Joven
1983,1539,2025-01-02 12:00:00,12,36,8557,Canada,6147,Regular
1684,378,2025-01-02 13:00:00,19,24,39874,México,9084,Regular
1182,4341,2025-01-02 14:00:00,16,32,8684,México,1547,Regular
1603,3192,2025-01-02 15:00:00,6,23,9772,México,9348,Premium Joven
1372,1674,2025-01-02 16:00:00,15,65,44335,México,5137,Regular
1266,607,2025-01-02 17:00:00,8,61,23362,México,8905,Regular
1564,3932,2025-01-02 18:00:00,12,26,16104,México,8699,Premium Joven
1872,2234,2025-01-02 19:00:00,12,44,45456,México,7708,Regular
1447,4992,2025-01-02 20:00:00,6,35,11555,México,5943,Regular
1830,2114,2025-01-02 21:00:00,6,46,39304,México,4149,Regular
1398,4144,2025-01-02 22:00:00,7,31,27477,USA,364,Regular
1905,3448,2025-01-02 23:00:00,13,58,40736,Canada,667,Regular
1240,1598,2025-01-03 00:00:00,12,30,49653,Canada,6612,Regular
1216,4615,2025-01-03 01:00:00,17,57,15287,México,7112,Regular
1066,1244,2025-01-03 02:00:00,2,31,23008,México,5489,Regular
1757,2714,2025-01-03 03:00:00,13,63,32355,Canada,9477,Regular
1287,4401,2025-01-03 04:00:00,9,32,7095,México,3991,Regular
1325,1805,2025-01-03 05:00:00,10,27,47068,México,6296,Premium Joven
1969,2168,2025-01-03 06:00:00,5,42,23884,México,417,Regular
1858,3056,2025-01-03 07:00:00,3,25,44441,México,9677,Premium Joven
1042,3436,2025-01-03 08:00:00,14,65,31095,Canada,8378,Regular
1848,3325,2025-01-03 09:00:00,1,55,30888,México,3771,Regular
1348,681,2025-01-03 10:00:00,12,59,15100,México,6643,Regular
1519,387,2025-01-03 11:00:00,1,27,8834,USA,4738,Regular
1964,4543,2025-01-03 12:00:00,19,65,31404,México,1554,Regular
1864,3399,2025-01-03 13:00:00,14,33,38729,México,9708,Regular
1760,4266,2025-01-03 14:00:00,9,57,33449,México,2800,Regular
1241,3765,2025-01-03 15:00:00,1,66,27806,México,3984,Regular
1208,1171,2025-01-03 16:00:00,8,44,28274,USA,7592,Regular
1292,4964,2025-01-03 17:00:00,12,54,12440,USA,3710,Regular
1455,2008,2025-01-03 18:00:00,6,65,47223,México,6731,Regular
1827,4390,2025-01-03 19:00:00,18,27,5378,Canada,1191,Premium Joven
1783,1453,2025-01-03 20:00:00,17,47,42011,Canada,6725,Regular
1725,3156,2025-01-03 21:00:00,14,24,41703,México,8057,Premium Joven
1203,1326,2025-01-03 22:00:00,14,56,11066,Canada,8294,Regular
1346,4610,2025-01-03 23:00:00,9,21,7935,México,8852,Premium Joven
1359,2214,2025-01-04 00:00:00,17,61,15676,USA,8267,Regular
1225,2660,2025-01-04 01:00:00,5,52,45331,México,3345,Regular
1380,1986,2025-01-04 02:00:00,18,68,35550,Canada,7611,Regular
1110,4029,2025-01-04 03:00:00,12,49,38662,USA,4670,Regular
1388,525,2025-01-04 04:00:00,18,45,44301,USA,6760,Regular
1262,644,2025-01-04 05:00:00,4,43,17028,USA,2454,Regular
1241,4133,2025-01-04 06:00:00,7,66,27806,México,3984,Regular
1954,4325,2025-01-04 07:00:00,17,21,25462,USA,7781,Premium Joven
1149,2265,2025-01-04 08:00:00,11,20,44149,México,1408,Premium Joven
1315,200,2025-01-04 09:00:00,15,36,24405,México,609,Regular
1713,4275,2025-01-04 10:00:00,12,65,46421,México,1815,Regular
1733,2933,2025-01-04 11:00:00,8,24,13452,USA,1417,Premium Joven
1237,2409,2025-01-04 12:00:00,13,42,27679,USA,5941,Regular
1929,3838,2025-01-04 13:00:00,1,32,43637,México,1582,Regular
1222,2411,2025-01-04 14:00:00,15,55,37073,USA,5207,Regular
1075,3919,2025-01-04 15:00:00,10,60,23000,USA,146,Regular
1327,2075,2025-01-04 16:00:00,9,25,21016,México,3079,Premium Joven
1565,2737,2025-01-04 17:00:00,8,34,45212,Canada,1310,Regular
1111,1277,2025-01-04 18:00:00,10,18,37135,Canada,7508,Premium Joven
1707,3703,2025-01-04 19:00:00,5,34,46548,México,1022,Regular
1745,2801,2025-01-04 20:00:00,10,55,7368,Canada,8119,Regular
1981,1378,2025-01-04 21:00:00,18,29,9086,Canada,6749,Premium Joven
1092,2600,2025-01-04 22:00:00,6,49,49088,México,274,Regular
1429,2247,2025-01-04 23:00:00,10,50,32162,Canada,6756,Regular
1114,3204,2025-01-05 00:00:00,2,25,21516,México,2588,Premium Joven
1747,1854,2025-01-05 01:00:00,16,66,29027,México,7304,Regular
1225,459,2025-01-05 02:00:00,1,52,45331,México,3345,Regular
1293,4016,2025-01-05 03:00:00,6,34,36682,México,526,Regular
1384,2508,2025-01-05 04:00:00,3,46,9655,México,4501,Regular
1176,236,2025-01-05 05:00:00,5,52,23430,Canada,6003,Regular
1493,3723,2025-01-05 06:00:00,4,32,27798,Canada,4891,Regular
1429,2361,2025-01-05 07:00:00,18,50,32162,Canada,6756,Regular
1887,3504,2025-01-05 08:00:00,17,21,40042,México,571,Premium Joven
1552,801,2025-01-05 09:00:00,18,40,11465,México,663,Regular
1688,1650,2025-01-05 10:00:00,15,46,39703,Canada,7104,Regular
1647,452,2025-01-05 11:00:00,6,42,31134,USA,5612,Regular
1273,3125,2025-01-05 12:00:00,18,22,5364,México,9019,Premium Joven
1559,483,2025-01-05 13:00:00,7,31,14604,México,6095,Regular
1496,4558,2025-01-05 14:00:00,6,29,48228,México,3799,Premium Joven
1191,4342,2025-01-05 15:00:00,5,43,35732,USA,690,Regular
1749,3822,2025-01-05 16:00:00,1,69,32546,México,6412,Regular
1382,1514,2025-01-05 17:00:00,8,51,39286,Canada,6248,Regular
1405,3321,2025-01-05 18:00:00,8,49,34963,México,9790,Regular
1983,2704,2025-01-05 19:00:00,4,36,8557,Canada,6147,Regular
1615,714,2025-01-05 20:00:00,19,62,17581,México,8023,Regular
1787,341,2025-01-05 21:00:00,4,24,30696,USA,9465,Regular
1571,660,2025-01-05 22:00:00,5,54,37405,México,9043,Regular
1878,4698,2025-01-05 23:00:00,5,35,45714,Canada,263,Regular
1628,2801,2025-01-06 00:00:00,3,57,47232,México,2507,Regular
1252,1507,2025-01-06 01:00:00,13,48,10381,México,8526,Regular
1109,2530,2025-01-06 02:00:00,4,56,27882,USA,7583,Regular
1730,4222,2025-01-06 03:00:00,7,65,47804,México,2620,Regular
1615,2062,2025-01-06 04:00:00,13,62,17581,México,8023,Regular
1667,3723,2025-01-06 05:00:00,13,42,25800,USA,3117,Regular
1288,2438,2025-01-06 06:00:00,9,39,23746,México,2212,Regular
1349,2593,2025-01-06 07:00:00,5,45,9740,México,6134,Regular
1418,2748,2025-01-06 08:00:00,11,63,24621,México,6731,Regular
1162,3101,2025-01-06 09:00:00,19,37,47307,USA,9731,Regular
1953,1923,2025-01-06 10:00:00,14,58,15166,México,2898,Regular
1695,4395,2025-01-06 11:00:00,7,30,27525,México,5106,Regular
1815,1351,2025-01-06 12:00:00,19,55,13942,México,8546,Regular
1137,2483,2025-01-06 13:00:00,5,24,31245,USA,2229,Premium Joven
1077,413,2025-01-06 14:00:00,5,42,22261,México,4515,Regular
1223,2412,2025-01-06 15:00:00,14,62,16921,Canada,5693,Regular
1747,996,2025-01-06 16:00:00,1,66,29027,México,7304,Regular
1573,1508,2025-01-06 17:00:00,13,36,6147,México,1194,Regular
1129,4150,2025-01-06 18:00:00,15,69,15217,México,684,Regular
1228,843,2025-01-06 19:00:00,19,68,44226,USA,6840,Regular
1848,3766,2025-01-06 20:00:00,8,55,30888,México,3771,Regular
1780,535,2025-01-06 21:00:00,17,46,27394,México,4556,Regular
1974,2728,2025-01-06 22:00:00,7,38,17700,México,9188,Regular
1211,3304,2025-01-06 23:00:00,5,44,9215,Canada,3486,Regular
1418,2057,2025-01-07 00:00:00,18,63,24621,México,6731,Regular
1668,472,2025-01-07 01:00:00,18,57,6414,México,8388,Regular
1754,1648,2025-01-07 02:00:00,10,28,26949,Canada,9050,Premium Joven
1033,763,2025-01-07 03:00:00,8,18,32530,México,682,Regular
1219,2344,2025-01-07 04:00:00,12,66,14097,México,1310,Regular
1028,1959,2025-01-07 05:00:00,19,59,14484,México,7370,Regular
1922,1593,2025-01-07 06:00:00,17,50,28402,Canada,9663,Regular
1716,1370,2025-01-07 07:00:00,10,41,14722,México,3463,Regular
1134,1493,2025-01-07 08:00:00,3,37,13295,México,8000,Regular
1069,897,2025-01-07 09:00:00,13,54,23119,Canada,266,Regular
1945,2487,2025-01-07 10:00:00,16,32,46688,México,1206,Regular
1182,3912,2025-01-07 11:00:00,13,32,8684,México,1547,Regular
1242,3914,2025-01-07 12:00:00,16,24,28312,USA,7256,Premium Joven
1680,133,2025-01-07 13:00:00,4,35,42750,Canada,6968,Regular
1419,477,2025-01-07 14:00:00,12,64,12858,México,3171,Regular
1224,3536,2025-01-07 15:00:00,10,38,37921,México,6390,Regular
1507,3851,2025-01-07 16:00:00,16,38,29079,México,9312,Regular
1324,2604,2025-01-07 17:00:00,5,59,43376,México,2113,Regular
1064,2322,2025-01-07 18:00:00,6,60,44812,USA,3049,Regular
1574,1481,2025-01-07 19:00:00,19,48,15627,USA,3980,Regular
1691,3090,2025-01-07 20:00:00,1,42,40619,México,8406,Regular
1693,315,2025-01-07 21:00:00,19,67,33830,Canada,2642,Regular
1240,360,2025-01-07 22:00:00,1,30,49653,Canada,6612,Regular
1062,2699,2025-01-07 23:00:00,17,40,8034,USA,8961,Regular
1761,4267,2025-01-08 00:00:00,2,55,48719,México,1832,Regular
1775,342,2025-01-08 01:00:00,4,61,35407,México,9696,Regular
1677,2805,2025-01-08 02:00:00,16,23,25431,México,8501,Premium Joven
1252,2933,2025-01-08 03:00:00,13,48,10381,México,8526,Regular
1687,3478,2025-01-08 04:00:00,1,53,44330,USA,75,Regular
1884,4898,2025-01-08 05:00:00,12,67,18643,Canada,8304,Regular
1313,940,2025-01-08 06:00:00,17,36,45853,USA,3419,Regular
1102,1533,2025-01-08 07:00:00,19,29,33680,México,7549,Premium Joven
1188,4061,2025-01-08 08:00:00,5,61,17040,Canada,8703,Regular
1164,4754,2025-01-08 09:00:00,19,28,31275,México,647,Premium Joven
1736,2451,2025-01-08 10:00:00,19,64,38538,Canada,8257,Regular
1843,484,2025-01-08 11:00:00,6,26,42704,USA,6445,Regular
1720,2877,2025-01-08 12:00:00,15,61,36584,USA,3070,Regular
1235,3823,2025-01-08 13:00:00,13,52,47814,México,3608,Regular
1771,428,2025-01-08 14:00:00,7,47,9851,México,3470,Regular
1329,583,2025-01-08 15:00:00,11,60,43222,Canada,9685,Regular
1551,2500,2025-01-08 16:00:00,16,28,7905,México,7205,Premium Joven
1815,4156,2025-01-08 17:00:00,12,55,13942,México,8546,Regular
1029,4036,2025-01-08 18:00:00,4,40,30871,México,4324,Regular
